File Name,God Lines,Too Many Parameters,Identifier Size,Function Length,Lazy Class,Function Chains,Large Class,Data Class,Middle Man,Cyclomatic Complexity
manage.py,0,0,1,0,0,1,0,0,0,0
fields.py,0,0,2,0,3,3,0,0,0,0
__init__.py,0,0,0,0,0,0,0,0,0,0
apps.py,0,0,0,0,1,0,0,0,0,0
widgets.py,0,2,1,0,3,3,0,0,0,0
admin.py,0,0,0,0,5,13,0,0,0,0
exceptions.py,0,0,0,0,1,0,0,0,0,0
tests.py,0,0,2,1,0,65,0,0,5,1
urls.py,0,0,0,0,0,0,0,0,0,0
arrays.py,0,0,1,0,0,1,0,0,0,0
course.py,0,0,0,0,0,1,0,0,0,0
__init__.py,0,0,0,0,0,0,0,0,0,0
math.py,0,0,0,0,0,2,0,0,0,0
grader.py,0,0,14,0,1,38,0,0,0,1
__init__.py,0,0,0,0,0,0,0,0,0,0
0021_userquestionjunction_is_favorite.py,0,0,0,0,0,2,0,0,0,0
0014_parsonsquestion_input_files.py,0,0,0,0,0,2,0,0,0,0
0018_auto_20210717_2053.py,0,0,0,0,1,5,0,0,0,0
0012_auto_20210420_2257.py,1,0,0,0,0,2,0,0,0,0
0002_auto_20200814_2314.py,0,0,0,0,0,3,0,0,0,0
0011_auto_20201213_1913.py,0,0,0,0,0,2,0,0,0,0
0009_auto_20201120_1808.py,0,0,0,0,0,5,0,0,0,0
__init__.py,0,0,0,0,0,0,0,0,0,0
0008_question_is_sample.py,0,0,0,0,0,2,0,0,0,0
0003_auto_20200815_0001.py,0,0,0,0,0,2,0,0,0,0
0005_question_event.py,1,0,0,0,0,2,0,0,0,0
0020_question_question_status.py,1,0,0,0,0,2,0,0,0,0
0007_auto_20201002_0329.py,2,0,0,0,0,4,0,0,0,0
0017_javaquestion_input_files.py,0,0,0,0,0,2,0,0,0,0
0004_auto_20200815_0111.py,0,0,0,0,0,6,0,0,0,0
0006_auto_20200921_2020.py,0,0,0,0,0,5,0,0,0,0
0015_auto_20210704_1627.py,0,0,0,0,1,4,0,0,0,0
0016_auto_20210704_1631.py,0,0,0,0,0,4,0,0,0,0
0001_initial.py,20,0,0,0,0,75,1,0,0,0
0019_remove_javaquestion_input_file_names.py,0,0,0,0,1,1,0,0,0,0
0013_delete_checkboxquestion.py,0,0,0,0,1,1,0,0,0,0
0010_questioncategory_next_categories.py,0,0,0,0,0,2,0,0,0,0
multiple_choice.py,0,0,0,0,3,4,0,0,0,0
java.py,0,0,0,0,1,0,0,0,0,0
__init__.py,0,0,0,0,0,0,0,0,0,0
forms.py,0,0,0,0,0,37,0,0,0,0
parsons.py,0,0,0,0,1,1,0,0,0,0
populate-db.py,0,0,8,0,0,40,1,0,0,1
variables.py,0,0,16,0,0,25,0,0,0,0
__init__.py,0,0,0,0,0,0,0,0,0,0
junit_xml.py,0,0,3,0,0,9,0,0,0,0
utils.py,0,3,25,3,1,47,0,1,0,0
multiple_choice.py,0,0,0,0,2,4,0,1,0,0
java.py,0,0,3,0,0,3,0,0,0,0
models.py,0,0,0,0,3,96,3,0,0,1
__init__.py,0,0,0,0,0,0,0,0,0,0
parsons.py,0,0,3,0,0,3,0,0,0,0
multiple_choice.py,0,2,3,3,0,20,0,0,0,0
java.py,0,0,1,0,0,17,0,0,0,0
__init__.py,0,0,0,0,0,0,0,0,0,0
parsons.py,0,0,1,0,0,14,0,0,0,0
views.py,0,0,48,2,0,25,0,0,0,0
env.py,0,0,17,0,0,9,0,0,0,0
asgi.py,0,0,1,0,0,1,0,0,0,0
__init__.py,0,0,0,0,0,0,0,0,0,0
settings.py,0,0,28,0,0,19,0,0,0,0
urls.py,0,0,2,0,0,4,0,0,0,0
views.py,0,0,0,0,0,13,0,0,0,0
wsgi.py,0,0,1,0,0,1,0,0,0,0
users.py,0,0,0,0,0,1,0,0,0,0
questions.py,0,0,1,1,0,1,0,0,0,0
__init__.py,0,0,0,0,0,0,0,0,0,0
courses.py,0,0,0,0,0,6,0,0,0,0
base.py,0,0,0,0,1,1,0,0,0,0
__init__.py,0,0,0,0,0,0,0,0,0,0
apps.py,0,0,0,0,1,0,0,0,0,0
admin.py,0,0,0,0,5,5,0,0,0,0
tests.py,0,0,0,0,17,72,0,0,14,1
views.py,0,0,0,0,0,1,0,0,0,0
token_format.py,0,0,0,0,0,2,0,0,0,0
__init__.py,0,0,0,0,0,0,0,0,0,0
0005_auto_20201120_1808.py,0,0,0,0,1,1,0,0,0,0
0003_auto_20200620_1722.py,0,0,0,0,0,4,0,0,0,0
0002_action.py,2,0,0,0,0,7,0,0,0,0
0008_auto_20211019_1619.py,1,0,0,0,0,2,0,0,0,0
__init__.py,0,0,0,0,0,0,0,0,0,0
0006_auto_20210829_1847.py,2,0,0,0,0,9,0,0,0,0
0007_auto_20210829_1919.py,1,0,0,0,0,2,0,0,0,0
0001_initial.py,0,0,0,0,0,4,0,0,0,0
0009_questionreport.py,1,0,0,0,0,9,0,0,0,0
0004_contactus.py,0,0,0,0,0,5,0,0,0,0
question_report.py,0,0,0,0,2,6,0,0,0,0
contact_us.py,0,0,0,0,1,4,0,0,1,0
action.py,1,1,0,0,2,11,0,0,0,0
faq.py,0,0,0,0,1,1,0,0,0,0
action.py,0,0,0,0,0,21,0,0,0,0
__init__.py,0,0,0,0,0,0,0,0,0,0
recaptcha.py,0,0,2,0,0,5,0,0,0,0
conf.py,0,0,2,0,0,3,0,0,0,0
models.py,0,1,23,0,1,100,1,0,1,1
__init__.py,0,0,0,0,0,0,0,0,0,0
apps.py,0,0,0,0,1,0,0,0,0,0
admin.py,0,0,0,0,0,5,0,0,0,0
tests.py,0,0,0,0,1,7,0,0,1,0
urls.py,0,0,0,0,0,0,0,0,0,0
canvasapi_mock.py,0,1,3,0,4,0,0,2,0,0
__init__.py,0,0,0,0,0,0,0,0,0,0
event_grade.py,0,0,0,0,0,1,0,0,0,0
canvas.py,0,0,0,0,0,11,0,0,0,0
0003_event.py,1,0,0,0,0,6,0,0,0,0
0005_canvascourse_mock.py,0,0,0,0,0,2,0,0,0,0
0011_merge_20211116_1744.py,0,0,0,0,1,0,0,0,0,0
0009_auto_20210702_1305.py,0,0,0,0,0,6,0,0,0,0
0007_tokenuse_num_used.py,0,0,0,0,0,2,0,0,0,0
__init__.py,0,0,0,0,0,0,0,0,0,0
0006_canvascourse_instructor.py,1,0,0,0,0,3,0,0,0,0
0004_auto_20200904_0453.py,3,0,0,0,0,19,0,0,0,0
0008_event_type.py,1,0,0,0,0,2,0,0,0,0
0001_initial.py,0,0,0,0,0,24,0,0,0,0
0002_auto_20200822_2131.py,0,0,0,0,0,2,0,0,0,0
0010_auto_20211025_1714.py,1,0,0,0,0,4,0,0,0,0
0010_canvascourseregistration_registration_type.py,1,0,0,0,0,2,0,0,0,0
forms.py,0,0,0,0,1,12,0,0,0,0
utils.py,2,0,4,0,0,6,0,0,0,0
token_use.py,0,0,0,0,1,9,0,0,0,0
__init__.py,0,0,0,0,0,0,0,0,0,0
register_views.py,0,0,1,1,0,19,0,0,0,0
views.py,0,0,7,1,0,27,0,0,0,0
models.py,0,0,2,0,1,19,0,1,0,0
__init__.py,0,0,0,0,0,0,0,0,0,0
apps.py,0,0,0,0,1,0,0,0,0,0
forms.py,0,0,11,0,3,32,0,0,0,0
middlewares.py,0,0,0,0,0,2,0,0,0,0
admin.py,0,0,0,0,1,2,0,0,0,0
tests.py,0,0,0,0,1,10,0,0,1,0
urls.py,0,0,0,0,0,4,0,0,0,0
views.py,0,0,0,1,2,16,0,0,0,0
0012_auto_20210420_2257.py,1,0,0,0,0,2,0,0,0,0
0005_myuser_student_number.py,0,0,0,0,0,2,0,0,0,0
0002_myuser_role.py,1,0,0,0,0,2,0,0,0,0
0010_auto_20201014_2059.py,0,0,0,0,0,4,0,0,0,0
__init__.py,0,0,0,0,0,0,0,0,0,0
0009_userconsent_user.py,1,0,0,0,0,2,0,0,0,0
0004_remove_myuser_tokens.py,0,0,0,0,1,1,0,0,0,0
0007_remove_myuser_student_number.py,0,0,0,0,1,1,0,0,0,0
